"Status","IntValue","HexValue","Description"
"STATUS_CSS_KEY_NOT_ESTABLISHED","-1073741048","0xC0000308","Copy protection error - DVD session key not established."
"STATUS_CSS_SCRAMBLED_SECTOR","-1073741047","0xC0000309","Copy protection error - The read failed because the sector is encrypted."
"STATUS_CSS_REGION_MISMATCH","-1073741046","0xC000030A","Copy protection error - The given DVD's region does not correspond to the region setting of the drive."
"STATUS_CSS_RESETS_EXHAUSTED","-1073741045","0xC000030B","Copy protection error - The drive's region setting may be permanent."
"STATUS_PASSWORD_CHANGE_REQUIRED","-1073741044","0xC000030C","EAS policy requires that the user change their password before this operation can be performed."
"STATUS_PKINIT_FAILURE","-1073741024","0xC0000320","The Kerberos protocol encountered an error while validating the KDC certificate during smartcard Logon. There is more information in the system event log."
"STATUS_NO_KERB_KEY","-1073741022","0xC0000322","The target server does not have acceptable Kerberos credentials."
"STATUS_HOST_DOWN","-1073740976","0xC0000350","The transport determined that the remote system is down."
"STATUS_UNSUPPORTED_PREAUTH","-1073740975","0xC0000351","An unsupported preauthentication mechanism was presented to the Kerberos package."
"STATUS_EFS_ALG_BLOB_TOO_BIG","-1073740974","0xC0000352","The encryption algorithm used on the source file needs a bigger key buffer than the one used on the destination file."
"STATUS_PORT_NOT_SET","-1073740973","0xC0000353","An attempt to remove a process's DebugPort was made, but a port was not already associated with the process."
"STATUS_DEBUGGER_INACTIVE","-1073740972","0xC0000354","Debugger Inactive: Windows may have been started without kernel debugging enabled."
"STATUS_DS_VERSION_CHECK_FAILURE","-1073740971","0xC0000355","This version of Windows is not compatible with the behavior version of directory forest, domain or domain controller."
"STATUS_AUDITING_DISABLED","-1073740970","0xC0000356","The specified event is currently not being audited."
"STATUS_PRENT4_MACHINE_ACCOUNT","-1073740969","0xC0000357","The machine account was created pre-NT4. The account needs to be recreated."
"STATUS_INVALID_IMAGE_WIN_32","-1073740967","0xC0000359","The specified image file did not have the correct format, it appears to be a 32-bit Windows image."
"STATUS_INVALID_IMAGE_WIN_64","-1073740966","0xC000035A","The specified image file did not have the correct format, it appears to be a 64-bit Windows image."
"STATUS_BAD_BINDINGS","-1073740965","0xC000035B","Client's supplied SSPI channel bindings were incorrect."
"STATUS_NETWORK_SESSION_EXPIRED","-1073740964","0xC000035C","The client's session has expired, so the client must reauthenticate to continue accessing the remote resources."
"STATUS_APPHELP_BLOCK","-1073740963","0xC000035D","AppHelp dialog canceled thus preventing the application from starting."
"STATUS_ALL_SIDS_FILTERED","-1073740962","0xC000035E","The SID filtering operation removed all SIDs."
"STATUS_NOT_SAFE_MODE_DRIVER","-1073740961","0xC000035F","The driver was not loaded because the system is booting into safe mode."
"STATUS_FAILED_DRIVER_ENTRY","-1073740955","0xC0000365","The driver was not loaded because it failed its initialization call."
"STATUS_DEVICE_ENUMERATION_ERROR","-1073740954","0xC0000366","The ""%hs"" encountered an error while applying power or reading the device configuration. This may be caused by a failure of your hardware or by a poor connection."
"STATUS_MOUNT_POINT_NOT_RESOLVED","-1073740952","0xC0000368","The create operation failed because the name contained at least one mount point which resolves to a volume to which the specified device object is not attached."
"STATUS_MCA_OCCURED","-1073740950","0xC000036A","A Machine Check Error has occurred. Please check the system eventlog for additional information."
"STATUS_SYSTEM_HIVE_TOO_LARGE","-1073740946","0xC000036E","System hive size has exceeded its limit."
"STATUS_DS_SHUTTING_DOWN","1073742704","0x40000370","The Directory Service is shutting down."
"STATUS_NO_SECRETS","-1073740943","0xC0000371","The local account store does not contain secret material for the specified account."
"STATUS_FAILED_STACK_SWITCH","-1073740941","0xC0000373","The system was not able to allocate enough memory to perform a stack switch."
"STATUS_HEAP_CORRUPTION","-1073740940","0xC0000374","A heap has been corrupted."
"STATUS_SMARTCARD_WRONG_PIN","-1073740928","0xC0000380","An incorrect PIN was presented to the smart card"
"STATUS_SMARTCARD_CARD_BLOCKED","-1073740927","0xC0000381","The smart card is blocked"
"STATUS_SMARTCARD_NO_CARD","-1073740925","0xC0000383","No smart card available"
"STATUS_SMARTCARD_NO_CERTIFICATE","-1073740923","0xC0000385","The requested certificate does not exist on the smart card"
"STATUS_SMARTCARD_NO_KEYSET","-1073740922","0xC0000386","The requested keyset does not exist"
"STATUS_SMARTCARD_IO_ERROR","-1073740921","0xC0000387","A communication error with the smart card has been detected."
"STATUS_DOWNGRADE_DETECTED","-1073740920","0xC0000388","The system cannot contact a domain controller to service the authentication request. Please try again later."
"STATUS_SMARTCARD_CERT_REVOKED","-1073740919","0xC0000389","The smartcard certificate used for authentication has been revoked. Please contact your system administrator. There may be additional information in the event log."
"STATUS_ISSUING_CA_UNTRUSTED","-1073740918","0xC000038A","An untrusted certificate authority was detected while processing the smartcard certificate used for authentication. Please contact your system administrator."
"STATUS_REVOCATION_OFFLINE_C","-1073740917","0xC000038B","The revocation status of the smartcard certificate used for authentication could not be determined. Please contact your system administrator."
"STATUS_PKINIT_CLIENT_FAILURE","-1073740916","0xC000038C","The smartcard certificate used for authentication was not trusted. Please contact your system administrator."
"STATUS_SMARTCARD_CERT_EXPIRED","-1073740915","0xC000038D","The smartcard certificate used for authentication has expired. Please contact your system administrator."
"STATUS_SMARTCARD_SILENT_CONTEXT","-1073740913","0xC000038F","The smartcard provider could not perform the action since the context was acquired as silent."
"STATUS_DS_NAME_NOT_UNIQUE","-1073740796","0xC0000404","The requested name already exists as a unique identifier."
"STATUS_DS_DUPLICATE_ID_FOUND","-1073740795","0xC0000405","The requested object has a non-unique identifier and cannot be retrieved."
"STATUS_USER2USER_REQUIRED","-1073740792","0xC0000408","Kerberos sub-protocol User2User is required."
"STATUS_STACK_BUFFER_OVERRUN","-1073740791","0xC0000409","The system detected an overrun of a stack-based buffer in this application. This overrun could potentially allow a malicious user to gain control of this application."
"STATUS_NO_S4U_PROT_SUPPORT","-1073740790","0xC000040A","The Kerberos subsystem encountered an error. A service for user protocol request was made against a domain controller which does not support service for user."
"STATUS_REVOCATION_OFFLINE_KDC","-1073740788","0xC000040C","The revocation status of the domain controller certificate used for smartcard authentication could not be determined. There is additional information in the system event log. Please contact your system administrator."
"STATUS_ISSUING_CA_UNTRUSTED_KDC","-1073740787","0xC000040D","An untrusted certificate authority was detected while processing the domain controller certificate used for authentication. There is additional information in the system event log. Please contact your system administrator."
"STATUS_KDC_CERT_EXPIRED","-1073740786","0xC000040E","The domain controller certificate used for smartcard logon has expired. Please contact your system administrator with the contents of your system event log."
"STATUS_KDC_CERT_REVOKED","-1073740785","0xC000040F","The domain controller certificate used for smartcard logon has been revoked. Please contact your system administrator with the contents of your system event log."
"STATUS_PARAMETER_QUOTA_EXCEEDED","-1073740784","0xC0000410","Data present in one of the parameters is more than the function can operate on."
"STATUS_HIBERNATION_FAILURE","-1073740783","0xC0000411","The system has failed to hibernate (The error code is %hs). Hibernation will be disabled until the system is restarted."
"STATUS_DELAY_LOAD_FAILED","-1073740782","0xC0000412","An attempt to delay-load a .dll or get a function address in a delay-loaded .dll failed."
"STATUS_VDM_DISALLOWED","-1073740780","0xC0000414","%hs is a 16-bit application. You do not have permissions to execute 16-bit applications. Check your permissions with your system administrator."
"STATUS_NTLM_BLOCKED","-1073740776","0xC0000418","The authentication failed since NTLM was blocked."
"STATUS_ASSERTION_FAILURE","-1073740768","0xC0000420","An assertion failure has occurred."
"STATUS_VERIFIER_STOP","-1073740767","0xC0000421","Application verifier has found an error in the current process."
"STATUS_CALLBACK_POP_STACK","-1073740765","0xC0000423","An exception has occurred in a user mode callback and the kernel callback frame should be removed."
"STATUS_HIVE_UNLOADED","-1073740763","0xC0000425","Illegal operation attempted on a registry key which has already been unloaded."
"STATUS_COMPRESSION_DISABLED","-1073740762","0xC0000426","Compression is disabled for this volume."
"STATUS_FILE_SYSTEM_LIMITATION","-1073740761","0xC0000427","The requested operation could not be completed due to a file system limitation"
"STATUS_INVALID_IMAGE_HASH","-1073740760","0xC0000428","Windows cannot verify the digital signature for this file. A recent hardware or software change might have installed a file that is signed incorrectly or damaged, or that might be malicious software from an unknown source."
"STATUS_NOT_CAPABLE","-1073740759","0xC0000429","The implementation is not capable of performing the request."
"STATUS_REQUEST_OUT_OF_SEQUENCE","-1073740758","0xC000042A","The requested operation is out of order with respect to other operations."
"STATUS_IMPLEMENTATION_LIMIT","-1073740757","0xC000042B","An operation attempted to exceed an implementation-defined limit."
"STATUS_ELEVATION_REQUIRED","-1073740756","0xC000042C","The requested operation requires elevation."
"STATUS_NO_SECURITY_CONTEXT","-1073740755","0xC000042D","The required security context does not exist."
"STATUS_PKU2U_CERT_FAILURE","-1073740753","0xC000042F","The PKU2U protocol encountered an error while attempting to utilize the associated certificates."
"STATUS_BEYOND_VDL","-1073740750","0xC0000432","The operation was attempted beyond the valid data length of the file."
"STATUS_PTE_CHANGED","-1073740748","0xC0000434","The page fault mappings changed in the middle of processing a fault so the operation must be retried."
"STATUS_PURGE_FAILED","-1073740747","0xC0000435","The attempt to purge this file from memory failed to purge some or all the data from memory."
"STATUS_INVALID_LABEL","-1073740730","0xC0000446","Indicates a particular Security ID may not be assigned as the label of an object."
"STATUS_AMBIGUOUS_SYSTEM_DEVICE","-1073740719","0xC0000451","The requested system device cannot be identified due to multiple indistinguishable devices potentially matching the identification criteria."
"STATUS_SYSTEM_DEVICE_NOT_FOUND","-1073740718","0xC0000452","The requested system device cannot be found."
"STATUS_RESTART_BOOT_APPLICATION","-1073740717","0xC0000453","This boot application must be restarted."
"STATUS_INVALID_SESSION","-1073740715","0xC0000455","The specified session is invalid."
"STATUS_THREAD_NOT_IN_SESSION","-1073740713","0xC0000457","The specified thread is not in a session."
"STATUS_INVALID_WEIGHT","-1073740712","0xC0000458","The specified weight is invalid."
"STATUS_REQUEST_PAUSED","-1073740711","0xC0000459","The operation was paused."
"STATUS_NO_RANGES_PROCESSED","-1073740704","0xC0000460","No ranges for the specified operation were able to be processed."
"STATUS_DISK_RESOURCES_EXHAUSTED","-1073740703","0xC0000461","The physical resources of this disk have been exhausted."
"STATUS_NEEDS_REMEDIATION","-1073740702","0xC0000462","The application cannot be started. Try reinstalling the application to fix the problem."
"STATUS_DEVICE_UNREACHABLE","-1073740700","0xC0000464","{Source/Destination device unreachable} The device is unreachable."
"STATUS_INVALID_TOKEN","-1073740699","0xC0000465","{Invalid Proxy Data Token} The token representing the data is invalid."
"STATUS_SERVER_UNAVAILABLE","-1073740698","0xC0000466","The file server is temporarily unavailable."
"STATUS_FILE_NOT_AVAILABLE","-1073740697","0xC0000467","The file is temporarily unavailable."
"STATUS_PACKAGE_UPDATING","-1073740695","0xC0000469","The application cannot be started because it is currently updating."
"STATUS_NOT_READ_FROM_COPY","-1073740694","0xC000046A","The specified copy of the requested data could not be read."
"STATUS_FT_WRITE_FAILURE","-1073740693","0xC000046B","The specified data could not be written to any of the copies."
"STATUS_FT_DI_SCAN_REQUIRED","-1073740692","0xC000046C","One or more copies of data on this device may be out of sync. No writes may be performed until a data integrity scan is completed."
"STATUS_DATA_CHECKSUM_ERROR","-1073740688","0xC0000470","A data integrity checksum error occurred. Data in the file stream is corrupt."
"STATUS_INVALID_OFFSET_ALIGNMENT","-1073740684","0xC0000474","{Alignment Violation} The command specified a data offset that does not align to the device's granularity/alignment."
"STATUS_OPERATION_IN_PROGRESS","-1073740682","0xC0000476","{Operation In Progress} An operation is currently in progress with the device."
"STATUS_SCRUB_DATA_DISABLED","-1073740680","0xC0000478","Scrub is disabled on the specified file."
"STATUS_NOT_REDUNDANT_STORAGE","-1073740679","0xC0000479","The storage device does not provide redundancy."
"STATUS_DIRECTORY_NOT_SUPPORTED","-1073740676","0xC000047C","An operation is not supported on a directory."
"STATUS_IO_OPERATION_TIMEOUT","-1073740675","0xC000047D","{IO Operation Timeout} The specified I/O operation failed to complete within the expected time period."
"STATUS_SYSTEM_NEEDS_REMEDIATION","-1073740674","0xC000047E","An error in a system binary was detected. Try refreshing the PC to fix the problem."
"STATUS_SHARE_UNAVAILABLE","-1073740672","0xC0000480","The share is temporarily unavailable."
"STATUS_INVALID_TASK_NAME","-1073740544","0xC0000500","The specified task name is invalid."
"STATUS_INVALID_TASK_INDEX","-1073740543","0xC0000501","The specified task index is invalid."
"STATUS_THREAD_ALREADY_IN_TASK","-1073740542","0xC0000502","The specified thread is already joining a task."
"STATUS_CALLBACK_BYPASS","-1073740541","0xC0000503","A callback has requested to bypass native code."
"STATUS_UNDEFINED_SCOPE","-1073740540","0xC0000504","The Central Access Policy specified is not defined on the target machine."
"STATUS_INVALID_CAP","-1073740539","0xC0000505","The Central Access Policy obtained from Active Directory is invalid."
"STATUS_NOT_GUI_PROCESS","-1073740538","0xC0000506","Unable to finish the requested operation because the specified process is not a GUI process."
"STATUS_FAIL_FAST_EXCEPTION","-1073740286","0xC0000602","{Fail Fast Exception} A fail fast exception occurred. Exception handlers will not be invoked and the process will be terminated immediately."
"STATUS_IMAGE_CERT_REVOKED","-1073740285","0xC0000603","Windows cannot verify the digital signature for this file. The signing certificate for this file has been revoked."
"STATUS_PORT_CLOSED","-1073740032","0xC0000700","The ALPC port is closed."
"STATUS_MESSAGE_LOST","-1073740031","0xC0000701","The ALPC message requested is no longer available."
"STATUS_INVALID_MESSAGE","-1073740030","0xC0000702","The ALPC message supplied is invalid."
"STATUS_REQUEST_CANCELED","-1073740029","0xC0000703","The ALPC message has been canceled."
"STATUS_RECURSIVE_DISPATCH","-1073740028","0xC0000704","Invalid recursive dispatch attempt."
"STATUS_LPC_REQUESTS_NOT_ALLOWED","-1073740025","0xC0000707","The ALPC port does not accept new request messages."
"STATUS_RESOURCE_IN_USE","-1073740024","0xC0000708","The resource requested is already in use."
"STATUS_HARDWARE_MEMORY_ERROR","-1073740023","0xC0000709","The hardware has reported an uncorrectable memory error."
"STATUS_PROCESS_IS_PROTECTED","-1073740014","0xC0000712","Either the target process, or the target thread's containing process, is a protected process."
"STATUS_MCA_EXCEPTION","-1073740013","0xC0000713","A Thread is getting dispatched with MCA EXCEPTION because of MCA."
"STATUS_SYMLINK_CLASS_DISABLED","-1073740011","0xC0000715","The symbolic link cannot be followed because its type is disabled."
"STATUS_NO_UNICODE_TRANSLATION","-1073740009","0xC0000717","No mapping for the Unicode character exists in the target multi-byte code page."
"STATUS_ALREADY_REGISTERED","-1073740008","0xC0000718","The provided callback is already registered."
"STATUS_CONTEXT_MISMATCH","-1073740007","0xC0000719","The provided context did not match the target."
"STATUS_INVALID_THREAD","-1073740004","0xC000071C","An invalid thread, handle p, is specified for this operation. Possibly, a threadpool worker thread was specified."
"STATUS_CALLBACK_RETURNED_LANG","-1073740001","0xC000071F","A threadpool worker thread enter a callback, which left with preferred languages set. This is unexpected, indicating that the callback missed clearing them."
"STATUS_DISK_REPAIR_DISABLED","-1073739776","0xC0000800","The attempted operation required self healing to be enabled."
"STATUS_DISK_QUOTA_EXCEEDED","-1073739774","0xC0000802","The requested file operation failed because the storage quota was exceeded. To free up disk space, move files to a different location or delete unnecessary files. For more information, contact your system administrator."
"STATUS_DATA_LOST_REPAIR","-2147481597","0x80000803","Windows discovered a corruption in the file ""%hs"". This file has now been repaired. Please check if any data in the file was lost because of the corruption."
"STATUS_CONTENT_BLOCKED","-1073739772","0xC0000804","The requested file operation failed because the storage policy blocks that type of file. For more information, contact your system administrator."
"STATUS_BAD_CLUSTERS","-1073739771","0xC0000805","The operation could not be completed due to bad clusters on disk."
"STATUS_VOLUME_DIRTY","-1073739770","0xC0000806","The operation could not be completed because the volume is dirty. Please run chkdsk and try again."
"STATUS_DISK_REPAIR_REDIRECTED","1073743879","0x40000807","The volume repair could not be performed while it is online. Please schedule to take the volume offline so that it can be repaired."
"STATUS_DISK_REPAIR_UNSUCCESSFUL","-1073739768","0xC0000808","The volume repair was not successful."
"STATUS_CORRUPT_LOG_OVERFULL","-1073739767","0xC0000809","One of the volume corruption logs is full. Further corruptions that may be detected won't be logged."
"STATUS_CORRUPT_LOG_CORRUPTED","-1073739766","0xC000080A","One of the volume corruption logs is internally corrupted and needs to be recreated. The volume may contain undetected corruptions and must be scanned."
"STATUS_CORRUPT_LOG_UNAVAILABLE","-1073739765","0xC000080B","One of the volume corruption logs is unavailable for being operated on."
"STATUS_CORRUPT_LOG_DELETED_FULL","-1073739764","0xC000080C","One of the volume corruption logs was deleted while still having corruption records in them. The volume contains detected corruptions and must be scanned."
"STATUS_CORRUPT_LOG_CLEARED","-1073739763","0xC000080D","One of the volume corruption logs was cleared by chkdsk and no longer contains real corruptions."
"STATUS_ORPHAN_NAME_EXHAUSTED","-1073739762","0xC000080E","Orphaned files exist on the volume but could not be recovered because no more new names could be created in the recovery directory. Files must be moved from the recovery directory."
"STATUS_FILE_CHECKED_OUT","-1073739519","0xC0000901","This file is checked out or locked for editing by another user."
"STATUS_CHECKOUT_REQUIRED","-1073739518","0xC0000902","The file must be checked out before saving changes."
"STATUS_BAD_FILE_TYPE","-1073739517","0xC0000903","The file type being saved or retrieved has been blocked."
"STATUS_FILE_TOO_LARGE","-1073739516","0xC0000904","The file size exceeds the limit allowed and cannot be saved."
"STATUS_FORMS_AUTH_REQUIRED","-1073739515","0xC0000905","Access Denied. Before opening files in this location, you must first browse to the web site and select the option to login automatically."
"STATUS_VIRUS_INFECTED","-1073739514","0xC0000906","Operation did not complete successfully because the file contains a virus or potentially unwanted software."
"STATUS_VIRUS_DELETED","-1073739513","0xC0000907","This file contains a virus or potentially unwanted software and cannot be opened. Due to the nature of this virus or potentially unwanted software, the file has been removed from this location."
"STATUS_BAD_MCFG_TABLE","-1073739512","0xC0000908","The resources required for this device conflict with the MCFG table."
"STATUS_CANNOT_BREAK_OPLOCK","-1073739511","0xC0000909","The operation did not complete successfully because it would cause an oplock to be broken. The caller has requested that existing oplocks not be broken."
"STATUS_BAD_KEY","-1073739510","0xC000090A","Bad key."
"STATUS_BAD_DATA","-1073739509","0xC000090B","Bad data."
"STATUS_NO_KEY","-1073739508","0xC000090C","Key does not exist."
"STATUS_FILE_HANDLE_REVOKED","-1073739504","0xC0000910","Access to the specified file handle has been revoked."
"STATUS_WOW_ASSERTION","-1073702760","0xC0009898","WOW Assertion Error."
"STATUS_INVALID_SIGNATURE","-1073700864","0xC000A000","The cryptographic signature is invalid."
"STATUS_HMAC_NOT_SUPPORTED","-1073700863","0xC000A001","The cryptographic provider does not support HMAC."
"STATUS_AUTH_TAG_MISMATCH","-1073700862","0xC000A002","The computed authentication tag did not match the input authentication tag."
"STATUS_INVALID_STATE_TRANSITION","-1073700861","0xC000A003","The requested state transition is invalid and cannot be performed."
"STATUS_INVALID_PEP_INFO_VERSION","-1073700859","0xC000A005","The supplied PEP information version is invalid."
"STATUS_IPSEC_QUEUE_OVERFLOW","-1073700848","0xC000A010","The IPSEC queue overflowed."
"STATUS_ND_QUEUE_OVERFLOW","-1073700847","0xC000A011","The neighbor discovery queue overflowed."
"STATUS_HOPLIMIT_EXCEEDED","-1073700846","0xC000A012","An ICMP hop limit exceeded error was received."
"STATUS_PROTOCOL_NOT_SUPPORTED","-1073700845","0xC000A013","The protocol is not installed on the local machine."
"STATUS_FASTPATH_REJECTED","-1073700844","0xC000A014","An operation or data has been rejected while on the network fast path."
"STATUS_XML_PARSE_ERROR","-1073700733","0xC000A083","Windows was unable to parse the requested XML data."
"STATUS_XMLDSIG_ERROR","-1073700732","0xC000A084","An error was encountered while processing an XML digital signature."
"STATUS_WRONG_COMPARTMENT","-1073700731","0xC000A085","Indicates that the caller made the connection request in the wrong routing compartment."
"STATUS_AUTHIP_FAILURE","-1073700730","0xC000A086","Indicates that there was an AuthIP failure when attempting to connect to the remote host."
"STATUS_DS_OID_NOT_FOUND","-1073700728","0xC000A088","The specified OID cannot be found."
"STATUS_INCORRECT_ACCOUNT_TYPE","-1073700727","0xC000A089","The system is not authoritative for the specified account and therefore cannot complete the operation. Please retry the operation using the provider associated with this account. If this is an online provider please use the provider's online site."
"STATUS_HASH_NOT_SUPPORTED","-1073700608","0xC000A100","Hash generation for the specified version and hash type is not enabled on server."
"STATUS_HASH_NOT_PRESENT","-1073700607","0xC000A101","The hash requests is not present or not up to date with the current file contents."
"STATUS_GPIO_OPERATION_DENIED","-1073700571","0xC000A125","The requested operation is not suppported for the specified handle."
"STATUS_CANNOT_SWITCH_RUNLEVEL","-1073700543","0xC000A141","The requested run level switch cannot be completed successfully since one or more services refused to stop or restart."
"STATUS_INVALID_RUNLEVEL_SETTING","-1073700542","0xC000A142","The service has an invalid run level setting. The run level for a service must not be higher than the run level of its dependent services."
"STATUS_RUNLEVEL_SWITCH_TIMEOUT","-1073700541","0xC000A143","The requested run level switch cannot be completed successfully since one or more services will not stop or restart within the specified timeout."
"STATUS_NOT_APPCONTAINER","-1073700352","0xC000A200","This operation is only valid in the context of an app container."
"STATUS_APP_DATA_NOT_FOUND","-1073700223","0xC000A281","Fast Cache data not found."
"STATUS_APP_DATA_EXPIRED","-1073700222","0xC000A282","Fast Cache data expired."
"STATUS_APP_DATA_CORRUPT","-1073700221","0xC000A283","Fast Cache data corrupt."
"STATUS_APP_DATA_LIMIT_EXCEEDED","-1073700220","0xC000A284","Fast Cache data has exceeded its max size and cannot be updated."
"STATUS_APP_DATA_REBOOT_REQUIRED","-1073700219","0xC000A285","Fast Cache has been ReArmed and requires a reboot until it can be updated."
"DBG_NO_STATE_CHANGE","-1073676287","0xC0010001","Debugger did not perform a state change."
"DBG_APP_NOT_IDLE","-1073676286","0xC0010002","Debugger has found the application is not idle."
"RPC_NT_INVALID_STRING_BINDING","-1073610751","0xC0020001","The string binding is invalid."
"RPC_NT_WRONG_KIND_OF_BINDING","-1073610750","0xC0020002","The binding handle is not the correct type."
"RPC_NT_INVALID_BINDING","-1073610749","0xC0020003","The binding handle is invalid."
"RPC_NT_PROTSEQ_NOT_SUPPORTED","-1073610748","0xC0020004","The RPC protocol sequence is not supported."
"RPC_NT_INVALID_RPC_PROTSEQ","-1073610747","0xC0020005","The RPC protocol sequence is invalid."
"RPC_NT_INVALID_STRING_UUID","-1073610746","0xC0020006","The string UUID is invalid."
"RPC_NT_INVALID_ENDPOINT_FORMAT","-1073610745","0xC0020007","The endpoint format is invalid."
"RPC_NT_INVALID_NET_ADDR","-1073610744","0xC0020008","The network address is invalid."
"RPC_NT_NO_ENDPOINT_FOUND","-1073610743","0xC0020009","No endpoint was found."
"RPC_NT_INVALID_TIMEOUT","-1073610742","0xC002000A","The timeout value is invalid."
"RPC_NT_OBJECT_NOT_FOUND","-1073610741","0xC002000B","The object UUID was not found."
"RPC_NT_ALREADY_REGISTERED","-1073610740","0xC002000C","The object UUID has already been registered."
"RPC_NT_TYPE_ALREADY_REGISTERED","-1073610739","0xC002000D","The type UUID has already been registered."
"RPC_NT_ALREADY_LISTENING","-1073610738","0xC002000E","The RPC server is already listening."
"RPC_NT_NO_PROTSEQS_REGISTERED","-1073610737","0xC002000F","No protocol sequences have been registered."
"RPC_NT_NOT_LISTENING","-1073610736","0xC0020010","The RPC server is not listening."
"RPC_NT_UNKNOWN_MGR_TYPE","-1073610735","0xC0020011","The manager type is unknown."
"RPC_NT_UNKNOWN_IF","-1073610734","0xC0020012","The interface is unknown."
"RPC_NT_NO_BINDINGS","-1073610733","0xC0020013","There are no bindings."
"RPC_NT_NO_PROTSEQS","-1073610732","0xC0020014","There are no protocol sequences."
"RPC_NT_CANT_CREATE_ENDPOINT","-1073610731","0xC0020015","The endpoint cannot be created."
"RPC_NT_OUT_OF_RESOURCES","-1073610730","0xC0020016","Not enough resources are available to complete this operation."
"RPC_NT_SERVER_UNAVAILABLE","-1073610729","0xC0020017","The RPC server is unavailable."
"RPC_NT_SERVER_TOO_BUSY","-1073610728","0xC0020018","The RPC server is too busy to complete this operation."
"RPC_NT_INVALID_NETWORK_OPTIONS","-1073610727","0xC0020019","The network options are invalid."
"RPC_NT_NO_CALL_ACTIVE","-1073610726","0xC002001A","There are no remote procedure calls active on this thread."
"RPC_NT_CALL_FAILED","-1073610725","0xC002001B","The remote procedure call failed."
"RPC_NT_CALL_FAILED_DNE","-1073610724","0xC002001C","The remote procedure call failed and did not execute."
"RPC_NT_PROTOCOL_ERROR","-1073610723","0xC002001D","An RPC protocol error occurred."
"RPC_NT_UNSUPPORTED_TRANS_SYN","-1073610721","0xC002001F","The transfer syntax is not supported by the RPC server."
"RPC_NT_UNSUPPORTED_TYPE","-1073610719","0xC0020021","The type UUID is not supported."
"RPC_NT_INVALID_TAG","-1073610718","0xC0020022","The tag is invalid."
"RPC_NT_INVALID_BOUND","-1073610717","0xC0020023","The array bounds are invalid."
"RPC_NT_NO_ENTRY_NAME","-1073610716","0xC0020024","The binding does not contain an entry name."
"RPC_NT_INVALID_NAME_SYNTAX","-1073610715","0xC0020025","The name syntax is invalid."
"RPC_NT_UNSUPPORTED_NAME_SYNTAX","-1073610714","0xC0020026","The name syntax is not supported."
"RPC_NT_UUID_NO_ADDRESS","-1073610712","0xC0020028","No network address is available to use to construct a UUID."
"RPC_NT_DUPLICATE_ENDPOINT","-1073610711","0xC0020029","The endpoint is a duplicate."
"RPC_NT_UNKNOWN_AUTHN_TYPE","-1073610710","0xC002002A","The authentication type is unknown."
"RPC_NT_MAX_CALLS_TOO_SMALL","-1073610709","0xC002002B","The maximum number of calls is too small."
"RPC_NT_STRING_TOO_LONG","-1073610708","0xC002002C","The string is too long."
"RPC_NT_PROTSEQ_NOT_FOUND","-1073610707","0xC002002D","The RPC protocol sequence was not found."
"RPC_NT_PROCNUM_OUT_OF_RANGE","-1073610706","0xC002002E","The procedure number is out of range."
"RPC_NT_BINDING_HAS_NO_AUTH","-1073610705","0xC002002F","The binding does not contain any authentication information."
"RPC_NT_UNKNOWN_AUTHN_SERVICE","-1073610704","0xC0020030","The authentication service is unknown."
"RPC_NT_UNKNOWN_AUTHN_LEVEL","-1073610703","0xC0020031","The authentication level is unknown."
"RPC_NT_INVALID_AUTH_IDENTITY","-1073610702","0xC0020032","The security context is invalid."
"RPC_NT_UNKNOWN_AUTHZ_SERVICE","-1073610701","0xC0020033","The authorization service is unknown."
"EPT_NT_INVALID_ENTRY","-1073610700","0xC0020034","The entry is invalid."
"EPT_NT_CANT_PERFORM_OP","-1073610699","0xC0020035","The operation cannot be performed."
"EPT_NT_NOT_REGISTERED","-1073610698","0xC0020036","There are no more endpoints available from the endpoint mapper."
"RPC_NT_NOTHING_TO_EXPORT","-1073610697","0xC0020037","No interfaces have been exported."
"RPC_NT_INCOMPLETE_NAME","-1073610696","0xC0020038","The entry name is incomplete."
"RPC_NT_INVALID_VERS_OPTION","-1073610695","0xC0020039","The version option is invalid."
"RPC_NT_NO_MORE_MEMBERS","-1073610694","0xC002003A","There are no more members."
"RPC_NT_NOT_ALL_OBJS_UNEXPORTED","-1073610693","0xC002003B","There is nothing to unexport."
"RPC_NT_INTERFACE_NOT_FOUND","-1073610692","0xC002003C","The interface was not found."
"RPC_NT_ENTRY_ALREADY_EXISTS","-1073610691","0xC002003D","The entry already exists."
"RPC_NT_ENTRY_NOT_FOUND","-1073610690","0xC002003E","The entry is not found."
"RPC_NT_NAME_SERVICE_UNAVAILABLE","-1073610689","0xC002003F","The name service is unavailable."
"RPC_NT_INVALID_NAF_ID","-1073610688","0xC0020040","The network address family is invalid."
"RPC_NT_CANNOT_SUPPORT","-1073610687","0xC0020041","The requested operation is not supported."
"RPC_NT_NO_CONTEXT_AVAILABLE","-1073610686","0xC0020042","No security context is available to allow impersonation."
"RPC_NT_INTERNAL_ERROR","-1073610685","0xC0020043","An internal error occurred in RPC."
"RPC_NT_ZERO_DIVIDE","-1073610684","0xC0020044","The RPC server attempted an integer divide by zero."
"RPC_NT_ADDRESS_ERROR","-1073610683","0xC0020045","An addressing error occurred in the RPC server."
"RPC_NT_FP_DIV_ZERO","-1073610682","0xC0020046","A floating point operation at the RPC server caused a divide by zero."
