"Status","IntValue","HexValue","Description"
"STATUS_DATA_OVERRUN","-1073741764","0xC000003C","{Data Overrun} A data overrun error occurred."
"STATUS_DATA_LATE_ERROR","-1073741763","0xC000003D","{Data Late} A data late error occurred."
"STATUS_DATA_ERROR","-1073741762","0xC000003E","{Data Error} An error in reading or writing data occurred."
"STATUS_CRC_ERROR","-1073741761","0xC000003F","{Bad CRC} A cyclic redundancy check (CRC) checksum error occurred."
"STATUS_SECTION_TOO_BIG","-1073741760","0xC0000040","{Section Too Large} The specified section is too big to map the file."
"STATUS_PORT_CONNECTION_REFUSED","-1073741759","0xC0000041","The NtConnectPort request is refused."
"STATUS_INVALID_PORT_HANDLE","-1073741758","0xC0000042","The type of port handle is invalid for the operation requested."
"STATUS_SHARING_VIOLATION","-1073741757","0xC0000043","A file cannot be opened because the share access flags are incompatible."
"STATUS_QUOTA_EXCEEDED","-1073741756","0xC0000044","Insufficient quota exists to complete the operation"
"STATUS_INVALID_PAGE_PROTECTION","-1073741755","0xC0000045","The specified page protection was not valid."
"STATUS_MUTANT_NOT_OWNED","-1073741754","0xC0000046","An attempt to release a mutant object was made by a thread that was not the owner of the mutant object."
"STATUS_SEMAPHORE_LIMIT_EXCEEDED","-1073741753","0xC0000047","An attempt was made to release a semaphore such that its maximum count would have been exceeded."
"STATUS_PORT_ALREADY_SET","-1073741752","0xC0000048","An attempt to set a process's DebugPort or ExceptionPort was made, but a port already exists in the process or an attempt to set a file's CompletionPort made, but a port was already set in the file or an attempt to set an ALPC port's associated completion port was made, but it is already set."
"STATUS_SECTION_NOT_IMAGE","-1073741751","0xC0000049","An attempt was made to query image information on a section which does not map an image."
"STATUS_SUSPEND_COUNT_EXCEEDED","-1073741750","0xC000004A","An attempt was made to suspend a thread whose suspend count was at its maximum."
"STATUS_THREAD_IS_TERMINATING","-1073741749","0xC000004B","An attempt was made to access a thread that has begun termination."
"STATUS_BAD_WORKING_SET_LIMIT","-1073741748","0xC000004C","An attempt was made to set the working set limit to an invalid value (minimum greater than maximum, etc)."
"STATUS_INCOMPATIBLE_FILE_MAP","-1073741747","0xC000004D","A section was created to map a file which is not compatible to an already existing section which maps the same file."
"STATUS_SECTION_PROTECTION","-1073741746","0xC000004E","A view to a section specifies a protection which is incompatible with the initial view's protection."
"STATUS_EAS_NOT_SUPPORTED","-1073741745","0xC000004F","An operation involving EAs failed because the file system does not support EAs."
"STATUS_EA_TOO_LARGE","-1073741744","0xC0000050","An EA operation failed because EA set is too large."
"STATUS_NONEXISTENT_EA_ENTRY","-1073741743","0xC0000051","An EA operation failed because the name or EA index is invalid."
"STATUS_NO_EAS_ON_FILE","-1073741742","0xC0000052","The file for which EAs were requested has no EAs."
"STATUS_EA_CORRUPT_ERROR","-1073741741","0xC0000053","The EA is corrupt and non-readable."
"STATUS_FILE_LOCK_CONFLICT","-1073741740","0xC0000054","A requested read/write cannot be granted due to a conflicting file lock."
"STATUS_LOCK_NOT_GRANTED","-1073741739","0xC0000055","A requested file lock cannot be granted due to other existing locks."
"STATUS_DELETE_PENDING","-1073741738","0xC0000056","A non close operation has been requested of a file object with a delete pending."
"STATUS_CTL_FILE_NOT_SUPPORTED","-1073741737","0xC0000057","An attempt was made to set the control attribute on a file. This attribute is not supported in the target file system."
"STATUS_UNKNOWN_REVISION","-1073741736","0xC0000058","Indicates a revision number encountered or specified is not one known by the service. It may be a more recent revision than the service is aware of."
"STATUS_REVISION_MISMATCH","-1073741735","0xC0000059","Indicates two revision levels are incompatible."
"STATUS_INVALID_OWNER","-1073741734","0xC000005A","Indicates a particular Security ID may not be assigned as the owner of an object."
"STATUS_INVALID_PRIMARY_GROUP","-1073741733","0xC000005B","Indicates a particular Security ID may not be assigned as the primary group of an object."
"STATUS_NO_IMPERSONATION_TOKEN","-1073741732","0xC000005C","An attempt has been made to operate on an impersonation token by a thread that is not currently impersonating a client."
"STATUS_CANT_DISABLE_MANDATORY","-1073741731","0xC000005D","A mandatory group may not be disabled."
"STATUS_NO_LOGON_SERVERS","-1073741730","0xC000005E","There are currently no logon servers available to service the logon request."
"STATUS_NO_SUCH_LOGON_SESSION","-1073741729","0xC000005F","A specified logon session does not exist. It may already have been terminated."
"STATUS_NO_SUCH_PRIVILEGE","-1073741728","0xC0000060","A specified privilege does not exist."
"STATUS_PRIVILEGE_NOT_HELD","-1073741727","0xC0000061","A required privilege is not held by the client."
"STATUS_INVALID_ACCOUNT_NAME","-1073741726","0xC0000062","The name provided is not a properly formed account name."
"STATUS_USER_EXISTS","-1073741725","0xC0000063","The specified account already exists."
"STATUS_NO_SUCH_USER","-1073741724","0xC0000064","The specified account does not exist."
"STATUS_GROUP_EXISTS","-1073741723","0xC0000065","The specified group already exists."
"STATUS_NO_SUCH_GROUP","-1073741722","0xC0000066","The specified group does not exist."
